,מארחת,אורחת,מועד המשחק
1,בני_יהודה,באר_שבע,2017-09-17
2,בני_יהודה,באר_שבע,2018-04-28
3,בני_סכנין,באר_שבע,2017-12-10
4,הפועל_אשקלון,באר_שבע,2017-12-31
5,הפועל_חיפה,באר_שבע,2017-09-23
6,מכבי_חיפה,באר_שבע,2017-08-27
8,מכבי_נתניה,באר_שבע,2018-04-22
12,עכו,באר_שבע,2018-01-20
13,רעננה,באר_שבע,2017-10-14
15,באר_שבע,ביתר_ירושלים,2018-04-04
17,בני_יהודה,ביתר_ירושלים,2018-05-12
18,בני_סכנין,ביתר_ירושלים,2017-10-02
19,הפועל_אשקלון,ביתר_ירושלים,2018-02-10
20,הפועל_חיפה,ביתר_ירושלים,2018-04-23
21,מכבי_חיפה,ביתר_ירושלים,2017-10-21
25,מכבי_תל_אביב,ביתר_ירושלים,2017-08-20
28,עכו,ביתר_ירושלים,2017-12-02
29,קרית_שמונה,ביתר_ירושלים,2018-01-13
30,באר_שבע,בני_יהודה,2018-01-09
31,באר_שבע,בני_יהודה,2018-03-18
32,ביתר_ירושלים,בני_יהודה,2018-02-19
34,בני_סכנין,בני_יהודה,2018-03-03
35,הפועל_אשקלון,בני_יהודה,2017-08-26
36,הפועל_חיפה,בני_יהודה,2017-09-09
37,הפועל_חיפה,בני_יהודה,2018-05-05
40,מכבי_נתניה,בני_יהודה,2018-05-16
42,מכבי_תל_אביב,בני_יהודה,2017-10-15
44,מס_אשדוד,בני_יהודה,2018-02-04
45,קרית_שמונה,בני_יהודה,2017-11-25
47,באר_שבע,בני_סכנין,2018-03-10
49,בני_יהודה,בני_סכנין,2017-12-02
50,הפועל_אשקלון,בני_סכנין,2018-02-24
51,הפועל_אשקלון,בני_סכנין,2018-04-07
52,הפועל_חיפה,בני_סכנין,2018-02-03
53,מכבי_חיפה,בני_סכנין,2017-11-05
55,מכבי_פתח_תקווה,בני_סכנין,2017-09-24
58,עכו,בני_סכנין,2017-08-20
59,עכו,בני_סכנין,2018-05-13
60,קרית_שמונה,בני_סכנין,2017-10-15
61,קרית_שמונה,בני_סכנין,2018-04-21
63,באר_שבע,הפועל_אשקלון,2017-09-09
65,בני_יהודה,הפועל_אשקלון,2017-12-23
66,בני_סכנין,הפועל_אשקלון,2017-11-25
67,הפועל_חיפה,הפועל_אשקלון,2017-08-19
68,מכבי_חיפה,הפועל_אשקלון,2017-12-09
69,מכבי_חיפה,הפועל_אשקלון,2018-04-14
70,מכבי_נתניה,הפועל_אשקלון,2018-03-03
73,מס_אשדוד,הפועל_אשקלון,2017-10-14
74,מס_אשדוד,הפועל_אשקלון,2018-04-29
75,עכו,הפועל_אשקלון,2018-01-08
76,קרית_שמונה,הפועל_אשקלון,2018-03-17
77,רעננה,הפועל_אשקלון,2017-09-23
78,רעננה,הפועל_אשקלון,2018-05-06
79,באר_שבע,הפועל_חיפה,2018-04-15
81,ביתר_ירושלים,הפועל_חיפה,2018-05-21
82,בני_יהודה,הפועל_חיפה,2017-12-30
83,בני_סכנין,הפועל_חיפה,2017-10-22
84,הפועל_אשקלון,הפועל_חיפה,2017-12-16
85,מכבי_חיפה,הפועל_חיפה,2018-03-05
88,מכבי_פתח_תקווה,הפועל_חיפה,2017-08-26
89,מכבי_תל_אביב,הפועל_חיפה,2018-02-24
91,מס_אשדוד,הפועל_חיפה,2017-12-09
92,עכו,הפועל_חיפה,2018-01-27
94,באר_שבע,מכבי_חיפה,2017-12-25
96,בני_יהודה,מכבי_חיפה,2017-08-21
97,בני_סכנין,מכבי_חיפה,2018-02-17
98,בני_סכנין,מכבי_חיפה,2018-05-05
99,הפועל_אשקלון,מכבי_חיפה,2018-03-10
103,מכבי_תל_אביב,מכבי_חיפה,2017-09-24
104,מס_אשדוד,מכבי_חיפה,2018-04-07
105,עכו,מכבי_חיפה,2017-09-10
106,קרית_שמונה,מכבי_חיפה,2017-10-28
107,באר_שבע,מכבי_נתניה,2017-08-19
110,בני_יהודה,מכבי_נתניה,2018-03-10
111,בני_יהודה,מכבי_נתניה,2018-04-14
112,בני_סכנין,מכבי_נתניה,2017-10-28
